Title,Patent Number,Abstract,Classification,Inventors,Current Assignee,link
,,,,,,
Directionally controlled array of solar power units,US4187123A,"A directionally controlled array of solar power units includes a supporting frame having conduits for flow of hot and cold water to each of the units supported on the frame, and each unit includes a solar cell which directly converts solar energy into electrical energy, the solar energy being concentrated on the cells by lenses. The solar cells are electrically connected for desired use of the electrical energy produced thereby, and the hot and cold water conduits are connected with the cells for flow of cold water in heat exchange relationship with the cells to cool the cells and heat the water and the hot water is available for work. Thermocouples and controls are connected with the units for moving the units to keep them pointed at the sun to thus utilize maximum energy therefrom throughout daylight hours.","Classifications
 
 G01S3/7861 Solar tracking systems
 View 15 more classifications",[' Richard E'],Diggs,https://patents.google.com/patent/US6046919A/en?q=solar&q=power&country=US&language=ENGLISH#
,,,,,,
"Solar power generation administration system, and solar power generation administration method to provide useful information to user",US6425248B1,"A method of providing a user who has installed a solar power generator with appropriate information, including the steps of receiving data of the quantity of generated power and quantity of power draw from a solar power generator connected to a network, calculating the quantity of buy power and quantity of sell power on a time zone basis, reading out a rate table of buy power and sell power, calculating the electric power charge for buy power and sell power classified into contract types, determining the type of contract that is most economical as to the value to be paid to a power company, calculated by subtracting the amount to be received for sell power from the amount to be paid for buy power, and producing appropriate information based on the determined contract type and calculated amount of payment.","Classifications
 
 H02J3/008 Circuit arrangements for ac mains or ac distribution networks involving trading of energy or energy transmission rights
 View 4 more classifications",[' Yoshifumi TonomuraKatsuyuki Konishi '],Sharp Corp,https://patents.google.com/patent/US4187123A/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Solar power charging system,US6429621B1,"A solar power charging system comprising: a voltage converter for converting a voltage level of all original voltage generated by a solar battery into generate a charging voltage and for charging a capacitor by the charging voltage; and a duty ratio control circuit electrically coupled to the voltage converter for supplying a driving clock to the voltage converter for allowing the voltage converter to operate based on the driving clock, wherein the duty ratio control circuit adjusts a duty ratio of the driving clock based on a maximum charge power which depends on the original voltage generated by the solar battery.","Classifications
 
 H02M3/1563 Conversion of dc power input into dc power output without intermediate conversion into ac by static converters using discharge tubes with control electrode or semiconductor devices with control electrode using devices of a triode or transistor type requiring continuous application of a control signal using semiconductor devices only with automatic control of output voltage or current, e.g. switching regulators without using an external clock
 View 3 more classifications",[' Satoshi Arai '],Tokin Corp,https://patents.google.com/patent/US6425248B1/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Maxium power point tracking method and tracking device thereof for a solar power system,US7394237B2,"A maximum power point tracking method, applied to a tracking device, employs a DC/DC converter connecting with a solar cell array, and including a controller actuating the DC/DC converter to perform an active resistance characteristic; a maximum power point tracking circuit adjusting the active resistance of the DC/DC converter; monitoring a change of an output power of the solar cell array in determining a direction for adjusting the active resistance of the DC/DC converter; and the maximum power point tracking circuit repeatedly adjusting the active resistance of the DC/DC converter. If the change of the output power of the solar cell array is positive, the active resistance of the DC/DC converter is adjusted in the same direction; but, conversely, if the change of the output power of the solar cell array is negative, the active resistance of the DC/DC converter is adjusted in an opposite direction.","Classifications
 
 G05F1/67 Regulating electric power to the maximum power available from a generator, e.g. from solar cell
 View 4 more classifications",[' Hung-Liang ChouWen-Jung ChiangChin-chang WuYa-Tsung FengLi-Hsiang Lai '],Ablerex Electronics Co Ltd,https://patents.google.com/patent/US6429621B1/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Solar power generation apparatus and control method therefor,US6593520B2,"When a ground fault occurs in some solar battery string, this solar battery string may be disconnected and operation of a solar power generation system may be continued. If the open-circuit voltage of the solar battery string is high, a safety problem arises. If the open-circuit voltage is decreased, the conversion efficiency decreases. Therefore, an intermediate switch is provided midway along the solar battery string. When a ground fault occurs, this solar battery string where the ground fault has occurred is divided into substrings.","Classifications
 
 H01L31/02021 Circuit arrangements of general character for the devices for devices characterised by at least one potential jump barrier or surface barrier for solar cells
 View 5 more classifications",[' Hiroshi KondoNaoki ManabeNobuyoshi Takehara '],Canon Inc,https://patents.google.com/patent/US7394237B2/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
